Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-03-28 10:45:34	018281111055	216	Success	59
2017-03-28 10:48:17	012484846439	216	Success	123
2017-03-28 10:52:43	012787321205	216	Success	171
2017-03-28 11:05:49	012444455044	216	Success	29
2017-03-28 11:36:00	019333330558	216	Success	106
2017-03-28 11:39:58	014296931605	216	Success	25
2017-03-28 11:49:24	018282698353	216	Success	39
2017-03-28 11:52:48	013123965874	216	Success	144
2017-03-28 12:01:33	017597230523	216	Success	36
2017-03-28 12:07:13	014525020890	216	Success	175
2017-03-28 12:14:50	012444453497	216	Success	43
2017-03-28 12:21:22	017757610243	216	Success	53
2017-03-28 12:24:19	017737320609	216	ShortCall	1
2017-03-28 12:36:54	019373723987	216	Success	65
2017-03-28 12:45:08	012484870278	216	Success	22
2017-03-28 12:49:25	012288147674	216	Success	211
2017-03-28 13:19:06	017597235314	216	Success	178
2017-03-28 13:27:01	017737321662	216	Success	55
2017-03-28 13:31:52	017597282692	216	Success	420
2017-03-28 13:45:46	019333332702	216	Success	72
2017-03-28 13:51:55	013123304820	216	Success	74
2017-03-28 13:55:00	019371119102	216	Success	126
2017-03-28 13:58:31	013123302283	216	Success	27
2017-03-28 14:01:31	017597288298	216	Success	10
2017-03-28 14:03:38	017757545943	216	ShortCall	9
2017-03-28 14:04:38	014737321745	216	ShortCall	4
2017-03-28 14:11:06	017737323978	216	Success	226
2017-03-28 14:23:23	012444464731	216	Success	28
2017-03-28 14:27:15	017737332200	216	Success	21
2017-03-28 14:30:05	017731002403	216	Success	62
2017-03-28 10:23:10	017751122308	216	Success	464
2017-03-28 11:08:42	017737332555	216	Success	54
2017-03-28 11:10:21	017757540120	216	Success	71
2017-03-28 11:13:26	012484874773	216	Success	33
2017-03-28 11:15:06	019373729393	216	Success	19
2017-03-28 11:32:43	018211080211	216	Success	31
2017-03-28 11:58:54	013123235437	216	Success	121
2017-03-28 12:03:36	018282848747	216	Success	52
2017-03-28 12:12:01	012737370588	216	Success	26
2017-03-28 12:25:50	012787388219	216	Success	17
2017-03-28 12:39:38	014737312696	216	Success	197
